iris_code,nom_iris,commune,dept,type_iris,centroid_lon,centroid_lat,sitescore,score_concurrence,score_revenu,score_densite,score_accessibilite,score_potentiel,score_foncier,nb_concurrents_500m,nb_concurrents_1km,nb_concurrents_2km,revenu_median,densite_pop,pop_totale,potentiel_ca,prix_m2_median,prix_m2_moyen,nb_transactions,ca_potentiel_an,ca_potentiel_m2,part_marche_pct,rf_score,score_final
751093302,Saint-Georges 2,Paris 9e Arrondissement,75,H,2.3362414178212187,48.87779031904113,31.2,10.0,34.0,36.0,95.0,22.0,10.0,55,164,619,27357,49499,3316,2521750.0,10629.0,11642.0,1045,318461.0,265.0,5.0,65.8,48.5
920510302,Plaine des Sablons 2,Neuilly-sur-Seine,92,H,2.2767125227523826,48.88146111644858,27.2,10.0,38.0,12.0,95.0,7.0,10.0,16,59,202,30189,16013,1104,840000.0,10530.0,11566.0,894,106080.0,88.0,5.0,84.6,55.9
781580108,Saint-Antoine,Le Chesnay-Rocquencourt,78,H,2.1319465159442017,48.81761038258432,24.4,10.0,48.0,1.0,50.0,2.0,50.0,10,27,56,38380,905,315,238000.0,5427.0,6463.0,169,34564.0,29.0,5.0,41.5,33.0
920510303,Plaine des Sablons 3,Neuilly-sur-Seine,92,H,2.27378214683228,48.8815787180125,22.9,10.0,49.0,2.0,65.0,1.0,10.0,15,48,194,39092,3270,212,161000.0,10530.0,11566.0,894,23382.0,19.0,5.0,79.8,51.4
920510304,Plaine des Sablons 4,Neuilly-sur-Seine,92,H,2.265197111983721,48.882223701698834,28.5,10.0,59.0,6.0,80.0,10.0,10.0,24,39,206,46813,7901,1532,1165500.0,10530.0,11566.0,894,169264.0,141.0,5.0,70.7,49.6
920510305,Plaine des Sablons 5,Neuilly-sur-Seine,92,H,2.2705156683447303,48.88339316058293,21.1,10.0,38.0,3.0,65.0,3.0,10.0,17,42,200,30601,3809,495,376250.0,10530.0,11566.0,894,47515.0,40.0,5.0,82.1,51.6
920510307,Plaine des Sablons 7,Neuilly-sur-Seine,92,H,2.264411521084047,48.88606917901768,28.3,10.0,61.0,5.0,80.0,3.0,10.0,21,37,189,48258,6312,416,315000.0,10530.0,11566.0,894,45747.0,38.0,5.0,81.6,55.0
920510308,Plaine des Sablons 8,Neuilly-sur-Seine,92,H,2.257852467194671,48.885253403608814,25.4,10.0,32.0,8.0,95.0,7.0,10.0,19,39,138,25174,10851,976,742000.0,10530.0,11566.0,894,93704.0,78.0,5.0,83.3,54.4
920510401,Parc de Neuilly 1,Neuilly-sur-Seine,92,H,2.263661172552549,48.88785935592033,34.4,10.0,74.0,10.0,95.0,10.0,10.0,22,47,201,58501,14210,1563,1188250.0,10530.0,11566.0,894,172568.0,144.0,5.0,74.4,54.4
920510402,Parc de Neuilly 2,Neuilly-sur-Seine,92,H,2.267427727549681,48.89253323072247,32.1,10.0,63.0,8.0,95.0,12.0,10.0,20,65,205,50227,10689,1817,1382500.0,10530.0,11566.0,894,200778.0,167.0,5.0,42.6,37.4
751093304,Saint-Georges 4,Paris 9e Arrondissement,75,H,2.3304459387645204,48.87959923383557,26.9,10.0,34.0,13.0,95.0,11.0,10.0,60,171,568,26680,17671,1678,1275750.0,10629.0,11642.0,1045,161109.0,134.0,5.0,91.9,59.4
920510404,Parc de Neuilly 4,Neuilly-sur-Seine,92,H,2.264078327542772,48.89308225504708,32.1,10.0,44.0,13.0,95.0,48.0,10.0,30,74,229,35288,17240,7189,5468750.0,10530.0,11566.0,894,794219.0,662.0,5.0,80.6,56.4
751041602,Notre-Dame 2,Paris 4e Arrondissement,75,H,2.350776746627988,48.85381836259943,26.2,10.0,38.0,8.0,95.0,2.0,10.0,39,117,419,30041,10717,321,243250.0,12840.0,13884.0,497,30719.0,26.0,5.0,80.0,53.1
920500805,Acacias Est,Nanterre,92,H,2.191403949915929,48.90146717893144,30.7,10.0,30.0,11.0,95.0,24.0,50.0,7,19,51,23636,14814,3629,2759750.0,5565.0,9042.0,499,306695.0,256.0,5.0,28.8,29.8
920510405,Parc de Neuilly 5,Neuilly-sur-Seine,92,H,2.2772767989795657,48.89096611003362,33.4,10.0,82.0,6.0,80.0,12.0,10.0,22,98,229,64931,7875,1732,1317750.0,10530.0,11566.0,894,191375.0,159.0,5.0,43.2,38.3
920510407,Parc de Neuilly 7,Neuilly-sur-Seine,92,H,2.2690274300289413,48.88845021916695,22.7,10.0,29.0,7.0,80.0,10.0,10.0,16,50,198,22910,9612,1470,1118250.0,10530.0,11566.0,894,124273.0,104.0,5.0,83.9,53.3
920510408,Parc de Neuilly 8,Neuilly-sur-Seine,92,H,2.272515229580174,48.88659859278248,31.0,10.0,52.0,12.0,95.0,18.0,10.0,17,53,198,41653,16695,2654,2017750.0,10530.0,11566.0,894,293035.0,244.0,5.0,62.9,47.0
920510409,Parc de Neuilly 9,Neuilly-sur-Seine,92,H,2.277536182712781,48.88583405143333,26.9,10.0,37.0,9.0,95.0,11.0,10.0,24,78,208,29608,11958,1674,1272250.0,10530.0,11566.0,894,160667.0,134.0,5.0,54.3,40.6
920510410,Parc de Neuilly 10,Neuilly-sur-Seine,92,H,2.277376974181554,48.88353539926327,29.8,10.0,69.0,4.0,80.0,5.0,10.0,24,73,214,54887,6078,705,535500.0,10530.0,11566.0,894,77770.0,65.0,5.0,85.1,57.4
920510411,Parc de Neuilly 11,Neuilly-sur-Seine,92,H,2.281715054024431,48.885649507006114,29.9,10.0,53.0,9.0,95.0,8.0,10.0,31,86,217,41859,12620,1161,882000.0,10530.0,11566.0,894,128092.0,107.0,5.0,60.6,45.2
920620303,Mairie,Puteaux,92,H,2.236804520314413,48.88462522141991,26.1,10.0,40.0,4.0,80.0,7.0,30.0,30,58,117,31573,6104,1092,829500.0,7061.0,8113.0,530,104754.0,87.0,5.0,78.1,52.1
920620304,Wallace 1,Puteaux,92,H,2.241155800461533,48.88068152482434,33.5,10.0,78.0,4.0,80.0,3.0,30.0,20,43,112,62319,5515,457,346500.0,7061.0,8113.0,530,50322.0,42.0,5.0,76.5,55.0
920620305,Seine 2,Puteaux,92,H,2.239855658792716,48.87494117763761,31.3,10.0,37.0,10.0,95.0,39.0,30.0,31,54,115,29474,13853,5804,4415250.0,7061.0,8113.0,530,557583.0,465.0,5.0,85.7,58.5
920620306,Agora,Puteaux,92,H,2.235991808005648,48.876721525401535,29.3,10.0,54.0,5.0,80.0,9.0,30.0,20,51,96,42945,6906,1277,971250.0,7061.0,8113.0,530,141053.0,118.0,5.0,80.0,54.6
920620401,République 1,Puteaux,92,H,2.2429825887817394,48.88597887745063,29.4,10.0,55.0,6.0,80.0,7.0,30.0,21,58,122,43900,8888,977,742000.0,7061.0,8113.0,530,107760.0,90.0,5.0,84.7,57.0
930640112,Colline,Rosny-sous-Bois,93,H,2.470809312605174,48.88013614770695,28.9,10.0,24.0,7.0,80.0,26.0,70.0,10,25,62,19372,9967,3887,2957500.0,3832.0,4275.0,444,328671.0,274.0,5.0,43.0,36.0
